epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3889,1.27829,1.264,1.09152,0.87058,0.84149,0.87587,0.50889,1.44516,1.18587,1.3301,0.000661333,0.000661333,0.000661333
2,22.0437,1.29404,0.81329,1.12443,0.56691,0.38695,0.37077,0.21074,1.84894,1.95877,1.95497,0.00130171,0.00130171,0.00130171
3,32.6872,1.31136,0.76071,1.13704,0.87223,0.88345,0.91186,0.54706,1.43116,1.01221,1.47713,0.00191568,0.00191568,0.00191568
4,43.1155,1.31756,0.77312,1.15149,0.907,0.73893,0.82581,0.49217,1.45055,1.05824,1.37606,0.0018812,0.0018812,0.0018812
5,53.6923,1.28152,0.71943,1.12077,0.90135,0.82751,0.91346,0.54978,1.34878,0.95743,1.32114,0.0018416,0.0018416,0.0018416
6,64.2455,1.25464,0.69565,1.1226,0.88672,0.91232,0.93512,0.54897,1.41031,0.91023,1.40256,0.001802,0.001802,0.001802
7,74.8389,1.23491,0.68027,1.10606,0.91274,0.93473,0.94809,0.61048,1.20172,0.69488,1.20443,0.0017624,0.0017624,0.0017624
8,85.5136,1.21501,0.65866,1.07939,0.92308,0.9231,0.94894,0.59391,1.26628,0.64004,1.29901,0.0017228,0.0017228,0.0017228
9,95.9427,1.1977,0.64226,1.09308,0.91667,0.89745,0.95055,0.61878,1.21549,0.71574,1.26376,0.0016832,0.0016832,0.0016832
10,106.372,1.20287,0.63545,1.07894,0.93924,0.93684,0.96249,0.62402,1.18925,0.63572,1.23919,0.0016436,0.0016436,0.0016436
11,116.903,1.16465,0.60691,1.07451,0.93393,0.94872,0.95032,0.62479,1.18048,0.65445,1.21214,0.001604,0.001604,0.001604
12,127.576,1.16606,0.60749,1.06299,0.91832,0.94639,0.95081,0.60906,1.21888,0.66143,1.23732,0.0015644,0.0015644,0.0015644
