epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.246,1.2912,1.8016,1.11174,0.90704,0.79608,0.87002,0.55331,1.23432,2.12955,1.16419,0.000661333,0.000661333,0.000661333
2,23.5017,1.32228,1.27466,1.14604,0.9196,0.85321,0.9224,0.55789,1.33509,1.6052,1.30269,0.00130171,0.00130171,0.00130171
3,34.5183,1.30705,1.09347,1.14367,0.89218,0.86801,0.91264,0.54675,1.31732,1.43944,1.20886,0.00191568,0.00191568,0.00191568
4,45.3633,1.32394,0.9954,1.14945,0.90199,0.87952,0.92548,0.55634,1.30209,0.99598,1.2068,0.0018812,0.0018812,0.0018812
5,56.0356,1.29664,0.88048,1.14078,0.91573,0.84848,0.92232,0.56811,1.26809,0.97917,1.17185,0.0018416,0.0018416,0.0018416
6,66.9607,1.25901,0.80958,1.1135,0.92468,0.88714,0.93616,0.59419,1.24229,0.84773,1.13967,0.001802,0.001802,0.001802
7,77.8371,1.24722,0.76731,1.113,0.93401,0.92379,0.95787,0.60882,1.18638,0.73971,1.10178,0.0017624,0.0017624,0.0017624
8,88.6128,1.238,0.74224,1.09229,0.91075,0.92772,0.94416,0.59889,1.23213,0.73284,1.14618,0.0017228,0.0017228,0.0017228
9,99.4542,1.19955,0.70282,1.08417,0.91902,0.92584,0.96277,0.62181,1.15344,0.70783,1.08227,0.0016832,0.0016832,0.0016832
10,110.026,1.21825,0.68237,1.09248,0.93716,0.90383,0.95478,0.62565,1.19415,0.77973,1.12863,0.0016436,0.0016436,0.0016436
11,120.747,1.18565,0.65918,1.08706,0.91821,0.9324,0.95837,0.64456,1.12727,0.66658,1.09263,0.001604,0.001604,0.001604
12,131.51,1.18001,0.63982,1.07928,0.90084,0.95297,0.95054,0.62164,1.20241,0.67446,1.12599,0.0015644,0.0015644,0.0015644
13,142.474,1.17505,0.63982,1.07538,0.92739,0.94172,0.96291,0.64402,1.17199,0.68372,1.12733,0.0015248,0.0015248,0.0015248
14,153.059,1.16075,0.60995,1.06158,0.93267,0.96037,0.96497,0.63223,1.15293,0.62971,1.10389,0.0014852,0.0014852,0.0014852
15,163.751,1.16687,0.61099,1.06728,0.93363,0.95095,0.9661,0.6551,1.10122,0.61796,1.10722,0.0014456,0.0014456,0.0014456
16,174.413,1.13465,0.6079,1.06434,0.94627,0.95105,0.96596,0.63895,1.06209,0.61705,1.07007,0.001406,0.001406,0.001406
17,185.182,1.12418,0.5866,1.06038,0.92569,0.94406,0.95126,0.65611,1.04183,0.64048,1.03518,0.0013664,0.0013664,0.0013664
18,195.903,1.09669,0.57697,1.05319,0.94867,0.94787,0.97518,0.6677,1.12018,0.58272,1.1252,0.0013268,0.0013268,0.0013268
19,206.839,1.11277,0.58644,1.05871,0.93782,0.96737,0.97116,0.66862,1.04814,0.57691,1.03736,0.0012872,0.0012872,0.0012872
20,217.612,1.11062,0.58115,1.06115,0.92569,0.95827,0.96493,0.66254,1.07153,0.61444,1.0539,0.0012476,0.0012476,0.0012476
21,229.608,1.0702,0.56546,1.04416,0.93902,0.94639,0.96433,0.66094,1.06505,0.58022,1.08025,0.001208,0.001208,0.001208
22,240.835,1.10747,0.55618,1.05604,0.94842,0.95804,0.97225,0.65613,1.03598,0.56673,1.04441,0.0011684,0.0011684,0.0011684
23,251.983,1.108,0.56571,1.05602,0.94744,0.9627,0.97021,0.65789,1.04243,0.59831,1.05611,0.0011288,0.0011288,0.0011288
24,263.513,1.08596,0.5432,1.04178,0.9469,0.96037,0.96766,0.68213,1.04329,0.54976,1.04972,0.0010892,0.0010892,0.0010892
25,274.616,1.08394,0.53948,1.03344,0.93619,0.95105,0.96992,0.67939,1.03483,0.538,1.03109,0.0010496,0.0010496,0.0010496
26,286.503,1.06415,0.5327,1.02406,0.93239,0.96442,0.97013,0.67655,1.05897,0.55049,1.0582,0.00101,0.00101,0.00101
27,298.672,1.08509,0.53866,1.05108,0.94467,0.9324,0.96432,0.67125,1.06537,0.5863,1.06695,0.0009704,0.0009704,0.0009704
28,310.966,1.05166,0.52433,1.03422,0.93274,0.96974,0.97453,0.68834,1.0129,0.5393,1.03058,0.0009308,0.0009308,0.0009308
29,323.051,1.05208,0.53032,1.02672,0.9386,0.95804,0.95973,0.65193,1.09191,0.55519,1.10872,0.0008912,0.0008912,0.0008912
30,334.462,1.05044,0.50563,1.01969,0.94205,0.94735,0.96923,0.68895,0.98222,0.52092,1.01115,0.0008516,0.0008516,0.0008516
31,345.954,1.04705,0.5116,1.01865,0.95596,0.96147,0.97299,0.67592,1.00859,0.53661,1.03037,0.000812,0.000812,0.000812
32,356.786,1.03809,0.50882,1.02331,0.93814,0.9627,0.97119,0.69912,0.99436,0.531,1.0302,0.0007724,0.0007724,0.0007724
33,367.602,1.02788,0.49759,1.02148,0.94903,0.95488,0.97275,0.68588,0.99517,0.5265,1.02021,0.0007328,0.0007328,0.0007328
34,378.334,1.00977,0.49671,1.00371,0.93995,0.95338,0.96674,0.69643,0.99103,0.50086,1.02611,0.0006932,0.0006932,0.0006932
35,389.148,1.04033,0.49856,1.00943,0.94198,0.9627,0.97593,0.69878,1.00344,0.51277,1.04011,0.0006536,0.0006536,0.0006536
36,399.951,1.01068,0.49026,1.0114,0.9471,0.95571,0.97439,0.70379,0.9502,0.5066,0.9975,0.000614,0.000614,0.000614
37,411.054,0.99774,0.47011,1.00855,0.9246,0.96503,0.97346,0.70659,0.98035,0.5039,1.01323,0.0005744,0.0005744,0.0005744
