epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2421,1.26422,1.44329,1.0839,0.6765,0.78479,0.73603,0.45721,1.26814,1.16831,1.23718,0.000661333,0.000661333,0.000661333
2,21.3184,1.32481,0.83407,1.09973,0.7614,0.80653,0.81334,0.46894,1.4769,1.21385,1.33139,0.00130171,0.00130171,0.00130171
3,31.1421,1.32696,0.80226,1.09774,0.83023,0.84356,0.857,0.49874,1.42476,1.4114,1.31438,0.00191568,0.00191568,0.00191568
4,40.8123,1.33461,0.77721,1.10109,0.93433,0.83683,0.89285,0.52274,1.43446,0.87667,1.27832,0.0018812,0.0018812,0.0018812
5,50.4453,1.3091,0.75209,1.07667,0.9067,0.85082,0.89651,0.52262,1.37209,0.96553,1.22199,0.0018416,0.0018416,0.0018416
6,60.2948,1.2801,0.72089,1.07726,0.91752,0.87879,0.91671,0.5201,1.25778,1.03881,1.17935,0.001802,0.001802,0.001802
7,70.2644,1.26546,0.70128,1.06627,0.92,0.87646,0.90821,0.57102,1.23556,0.91122,1.13738,0.0017624,0.0017624,0.0017624
8,80.0135,1.22966,0.67955,1.04653,0.91583,0.88769,0.92265,0.58728,1.26938,0.71122,1.18875,0.0017228,0.0017228,0.0017228
9,89.7603,1.19905,0.65227,1.04354,0.91434,0.91142,0.92657,0.59683,1.20745,0.7289,1.1327,0.0016832,0.0016832,0.0016832
10,99.422,1.2206,0.66457,1.03486,0.93197,0.93939,0.95185,0.62021,1.17682,0.67554,1.11972,0.0016436,0.0016436,0.0016436
11,109.064,1.16243,0.61761,1.03173,0.92406,0.93601,0.9505,0.62589,1.1953,0.66311,1.14588,0.001604,0.001604,0.001604
12,118.797,1.16664,0.60931,1.02425,0.91804,0.91384,0.94452,0.60323,1.24652,0.75723,1.1653,0.0015644,0.0015644,0.0015644
13,128.559,1.16948,0.62218,1.03239,0.9347,0.93427,0.95985,0.6281,1.13469,0.64027,1.09384,0.0015248,0.0015248,0.0015248
14,138.29,1.14177,0.59789,1.00524,0.92212,0.92308,0.93916,0.60594,1.2189,0.66295,1.1489,0.0014852,0.0014852,0.0014852
15,148.162,1.14552,0.58818,1.0093,0.89022,0.94515,0.95203,0.63034,1.14523,0.66153,1.08613,0.0014456,0.0014456,0.0014456
16,158.07,1.12322,0.58083,1.00778,0.9261,0.91841,0.93978,0.62284,1.12811,0.65209,1.06367,0.001406,0.001406,0.001406
17,167.807,1.10408,0.56423,0.99756,0.93361,0.90676,0.95136,0.64523,1.13651,0.59816,1.10558,0.0013664,0.0013664,0.0013664
18,177.454,1.09115,0.55485,0.9977,0.94145,0.92541,0.95777,0.62849,1.12447,0.61869,1.09489,0.0013268,0.0013268,0.0013268
19,187.324,1.11686,0.56449,1.00993,0.93674,0.932,0.96518,0.64999,1.13505,0.57123,1.07987,0.0012872,0.0012872,0.0012872
20,197.419,1.08564,0.54988,1.00534,0.93828,0.92132,0.96177,0.65798,1.06375,0.57553,1.06457,0.0012476,0.0012476,0.0012476
21,207.323,1.05221,0.53089,0.985,0.9225,0.91608,0.94987,0.65213,1.06954,0.60007,1.0804,0.001208,0.001208,0.001208
22,217.318,1.08124,0.53546,0.99106,0.92028,0.93706,0.9646,0.65885,1.08515,0.59396,1.05793,0.0011684,0.0011684,0.0011684
23,227.186,1.08291,0.55543,1.00326,0.93207,0.92753,0.95175,0.61973,1.13989,0.62898,1.10262,0.0011288,0.0011288,0.0011288
24,236.822,1.05468,0.53744,0.98103,0.93206,0.95936,0.96483,0.66284,1.02682,0.56624,1.04862,0.0010892,0.0010892,0.0010892
25,246.495,1.0733,0.53745,0.97965,0.94455,0.94406,0.96239,0.65937,1.06748,0.56729,1.03682,0.0010496,0.0010496,0.0010496
26,257.156,1.04104,0.52153,0.97486,0.95542,0.89933,0.94876,0.64537,1.07083,0.67381,1.07923,0.00101,0.00101,0.00101
27,267.164,1.07144,0.5343,0.99269,0.94013,0.95162,0.97018,0.68092,1.00924,0.54463,1.05541,0.0009704,0.0009704,0.0009704
28,277.155,1.02841,0.5046,0.9887,0.94235,0.95251,0.97526,0.68273,1.00646,0.53211,1.03498,0.0009308,0.0009308,0.0009308
29,287.085,1.02771,0.5099,0.97258,0.93466,0.93939,0.96487,0.66255,1.03711,0.56898,1.05296,0.0008912,0.0008912,0.0008912
30,297.004,1.01785,0.49788,0.97159,0.94227,0.94639,0.96469,0.65405,1.03183,0.55042,1.03622,0.0008516,0.0008516,0.0008516
31,306.796,1.01796,0.50211,0.96757,0.93732,0.93007,0.95933,0.65696,1.04557,0.58801,1.03661,0.000812,0.000812,0.000812
32,316.695,1.01126,0.49916,0.96607,0.92821,0.94639,0.95867,0.66743,1.01302,0.59878,1.03773,0.0007724,0.0007724,0.0007724
33,326.625,1.00387,0.47783,0.96903,0.93401,0.94406,0.96388,0.69067,1.0089,0.51648,1.02758,0.0007328,0.0007328,0.0007328
