epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8456,1.2962,1.66017,1.04719,0.92492,0.80402,0.88264,0.52966,1.30533,1.61202,1.10169,0.000661333,0.000661333,0.000661333
2,20.5804,1.30056,1.07524,1.0575,0.84618,0.79506,0.8737,0.50593,1.33288,1.2443,1.16831,0.00130171,0.00130171,0.00130171
3,29.9949,1.30547,0.97426,1.07486,0.89132,0.85082,0.89792,0.54427,1.3464,1.12356,1.18099,0.00191568,0.00191568,0.00191568
4,39.3719,1.29466,0.91316,1.06404,0.88875,0.89381,0.91219,0.53453,1.31028,1.00143,1.14371,0.0018812,0.0018812,0.0018812
5,48.8061,1.27647,0.83361,1.05234,0.91106,0.8835,0.9138,0.56366,1.28585,0.83031,1.16231,0.0018416,0.0018416,0.0018416
6,58.0959,1.23074,0.76115,1.04715,0.93138,0.88584,0.92422,0.56992,1.22062,0.76611,1.1056,0.001802,0.001802,0.001802
7,67.7246,1.22523,0.72762,1.03154,0.93479,0.86884,0.92233,0.59042,1.25425,0.74465,1.08324,0.0017624,0.0017624,0.0017624
8,77.2921,1.21487,0.71352,1.01467,0.92653,0.89744,0.92013,0.58684,1.25165,0.73885,1.13692,0.0017228,0.0017228,0.0017228
9,86.4542,1.18814,0.66889,1.01698,0.91337,0.90936,0.93843,0.59875,1.2248,0.71948,1.10725,0.0016832,0.0016832,0.0016832
10,96.015,1.20132,0.66751,1.01526,0.9314,0.93939,0.94986,0.60594,1.19305,0.72418,1.07894,0.0016436,0.0016436,0.0016436
11,105.274,1.15981,0.64102,1.01935,0.91012,0.9324,0.93889,0.61104,1.19954,0.67859,1.0826,0.001604,0.001604,0.001604
12,114.591,1.16876,0.63642,1.00756,0.88987,0.94872,0.92915,0.57961,1.21091,0.7274,1.08683,0.0015644,0.0015644,0.0015644
13,123.864,1.15789,0.63443,1.01354,0.93384,0.9213,0.95923,0.61598,1.17219,0.70732,1.08737,0.0015248,0.0015248,0.0015248
14,133.427,1.13701,0.60416,0.9984,0.91156,0.92541,0.94192,0.59185,1.22207,0.66082,1.11736,0.0014852,0.0014852,0.0014852
15,142.692,1.14514,0.59846,0.99736,0.93638,0.93473,0.95597,0.63014,1.14521,0.63616,1.05735,0.0014456,0.0014456,0.0014456
16,152.09,1.12073,0.59845,0.9955,0.92899,0.90909,0.95103,0.63384,1.08934,0.66236,1.02416,0.001406,0.001406,0.001406
17,161.475,1.10409,0.58905,0.98827,0.92825,0.92774,0.95902,0.63089,1.08824,0.63118,1.04039,0.0013664,0.0013664,0.0013664
18,170.752,1.10336,0.58659,0.99282,0.93927,0.93731,0.94296,0.61704,1.09975,0.61518,1.05421,0.0013268,0.0013268,0.0013268
19,180.199,1.10676,0.58141,0.99707,0.91133,0.93433,0.95822,0.63274,1.12834,0.62532,1.03427,0.0012872,0.0012872,0.0012872
20,189.469,1.09991,0.5699,0.99771,0.92062,0.94172,0.953,0.64717,1.04232,0.56873,1.00563,0.0012476,0.0012476,0.0012476
21,198.827,1.07068,0.56023,0.98373,0.94176,0.90457,0.95685,0.63435,1.15008,0.61974,1.09467,0.001208,0.001208,0.001208
22,208.388,1.10017,0.55312,0.99316,0.94324,0.92964,0.95591,0.63778,1.10468,0.58745,1.03086,0.0011684,0.0011684,0.0011684
23,217.975,1.09471,0.57108,0.99051,0.92077,0.94813,0.9571,0.64042,1.07043,0.58219,1.03966,0.0011288,0.0011288,0.0011288
24,227.417,1.0663,0.54426,0.97774,0.92878,0.94233,0.96316,0.65856,1.04975,0.56372,1.02608,0.0010892,0.0010892,0.0010892
25,236.821,1.08433,0.55683,0.97515,0.93101,0.94364,0.96152,0.66529,1.0571,0.57227,1.03414,0.0010496,0.0010496,0.0010496
26,246.459,1.04363,0.53554,0.9673,0.92128,0.92756,0.95393,0.65536,1.04804,0.55923,1.02986,0.00101,0.00101,0.00101
27,255.806,1.07333,0.54549,0.98245,0.93795,0.93706,0.95513,0.65707,1.04217,0.57438,1.0157,0.0009704,0.0009704,0.0009704
28,265.434,1.03627,0.52435,0.98143,0.94662,0.9324,0.95682,0.66039,1.05329,0.54832,1.03567,0.0009308,0.0009308,0.0009308
29,274.673,1.03468,0.52776,0.96585,0.92258,0.95338,0.95864,0.65909,1.03926,0.55307,1.01091,0.0008912,0.0008912,0.0008912
30,284.017,1.03535,0.52151,0.96448,0.91798,0.93916,0.94521,0.65543,1.01287,0.56039,0.99897,0.0008516,0.0008516,0.0008516
31,293.465,1.02752,0.52188,0.9619,0.93131,0.93706,0.95786,0.65815,1.06116,0.57314,1.05339,0.000812,0.000812,0.000812
32,302.796,1.01991,0.51983,0.96393,0.92508,0.94984,0.96693,0.67865,0.98318,0.55502,0.99286,0.0007724,0.0007724,0.0007724
33,312.436,1.01562,0.4966,0.96257,0.93582,0.93473,0.95423,0.67336,1.00095,0.55799,1.01455,0.0007328,0.0007328,0.0007328
34,321.861,0.98938,0.49118,0.95237,0.9277,0.95706,0.96287,0.68317,0.9644,0.52008,0.99164,0.0006932,0.0006932,0.0006932
35,331.298,1.02286,0.50036,0.95253,0.93867,0.96326,0.96762,0.67488,0.99697,0.49751,1.01756,0.0006536,0.0006536,0.0006536
36,340.604,0.98921,0.48922,0.95264,0.93325,0.94172,0.95861,0.6756,1.00465,0.52458,1.02791,0.000614,0.000614,0.000614
37,349.944,0.97289,0.46849,0.94588,0.93405,0.9574,0.96508,0.68089,1.00213,0.53746,1.00845,0.0005744,0.0005744,0.0005744
38,359.47,0.96633,0.47959,0.9473,0.93146,0.95034,0.95766,0.67325,1.01685,0.5205,1.0102,0.0005348,0.0005348,0.0005348
39,368.791,0.97265,0.48235,0.9483,0.94627,0.94639,0.9693,0.69434,0.96376,0.5216,0.98756,0.0004952,0.0004952,0.0004952
40,378.111,0.96054,0.47329,0.94638,0.94772,0.95571,0.96953,0.69122,1.0061,0.50966,1.00692,0.0004556,0.0004556,0.0004556
